product_id;article;product_name;popularity_rank;variant_count;category_id;category;subcategory_id;subcategory;min_price_rub;max_price_rub;min_old_price_rub;max_old_price_rub;primary_image;available
KD-PD-11521;KD-PD-11521;Диффузор;71;3;cat_06e60bd4fa;Декор для дома;sub_96372e8877;Свечи и диффузоры;3990;3990;;;/assets/images/69b16002123a4_big.png;true
KD-PD-11419;KD-PD-11419;Блюдо овальное Овация;72;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;2154;2154;3590;3590;/assets/images/6a3a77ab1a012_big.jpg;true
KD-PD-11431;KD-PD-11431;Кружка Овация;73;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;714;714;1190;1190;/assets/images/6a394affdcfc4_big.jpg;true
KD-PD-11429;KD-PD-11429;Молочник Овация;74;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;894;894;1490;1490;/assets/images/KD-PD-11429.jpg;true
KD-PD-11421;KD-PD-11421;Салатник Овация;75;1;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;1794;1794;2990;2990;/assets/images/6a3a861013057_big.jpg;true
KD-PD-11418;KD-PD-11418;Тарелка глубокая Овация;76;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;1794;1794;2990;2990;/assets/images/69cfcf5d94387_big.jpg;true
KD-PD-11436;KD-PD-11436;Блюдо овальное Эхо;77;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;3190;3190;3190;3190;/assets/images/KD-PD-11436.jpg;true
KD-PD-11518;KD-PD-11518;Кофейная пара Эхо;78;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;1673;1673;2390;2390;/assets/images/6a85bf55372ef_big.jpg;true
KD-PD-11441;KD-PD-11441;Молочник Эхо;79;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;1673;1673;2390;2390;/assets/images/KD-PD-11441.jpg;true
KD-PD-11449;KD-PD-11449;Салатник Эхо;80;1;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;903;903;1290;1290;/assets/images/KD-PD-11449.jpg;true
KD-PD-11440;KD-PD-11440;Сахарница Эхо;81;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;2513;2513;3590;3590;/assets/images/KD-PD-11440.jpg;true
KD-PD-9415;KD-PD-9415;Ваза для фруктов Весна;82;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;1436;1436;3590;3590;/assets/images/KD-PD-9415.png;true
KD-PD-9418;KD-PD-9418;Кружка Весна;83;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;596;596;1490;1490;/assets/images/KD-PD-9418.png;true
KD-PD-8984;KD-PD-8984;Салфетка Весна;84;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;1290;1290;;;/assets/images/KD-PD-8984.png;true
KD-PD-9975;KD-PD-9975;Свеча Весна;85;1;cat_06e60bd4fa;Декор для дома;sub_96372e8877;Свечи и диффузоры;792;792;990;990;/assets/images/69df5f56592b1_big.jpg;true
KD-PD-9416;KD-PD-9416;Тарелка закусочная Весна;86;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;1116;1116;2790;2790;/assets/images/KD-PD-9416.png;true
KD-PD-9417;KD-PD-9417;Тарелка обеденная Весна;87;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;1436;1436;3590;3590;/assets/images/KD-PD-9417.png;true
KD-PD-10913;KD-PD-10913;Блюдо Весенний сад;88;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;5592;5592;6990;6990;/assets/images/6a85ae21c78e0_big.jpg;true
KD-PD-10911;KD-PD-10911;Блюдо Весенний сад;89;2;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;4472;6392;5590;7990;/assets/images/KD-PD-10911.png;true
KD-PD-10925;KD-PD-10925;Кофейная пара Весенний сад;90;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;2072;2072;2590;2590;/assets/images/6a85afc487304_big.jpg;true
KD-PD-11141;KD-PD-11141;Набор свечей Весенний сад;91;1;cat_06e60bd4fa;Декор для дома;sub_96372e8877;Свечи и диффузоры;2990;2990;;;/assets/images/69df9867a661d_big.jpg;true
KD-PD-10928;KD-PD-10928;Перечница Весенний сад;92;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;1032;1032;1290;1290;/assets/images/KD-PD-10928.png;true
KD-PD-10917;KD-PD-10917;Розетка для варенья Весенний сад;93;1;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;1112;1112;1390;1390;/assets/images/KD-PD-10917.png;true
KD-PD-10915;KD-PD-10915;Салатник Весенний сад;94;1;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;3672;3672;4590;4590;/assets/images/KD-PD-10915.png;true
KD-PD-10924;KD-PD-10924;Сахарница Весенний сад;95;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;3032;3032;3790;3790;/assets/images/KD-PD-10924.png;true
KD-PD-10927;KD-PD-10927;Солонка Весенний сад;96;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;1032;1032;1290;1290;/assets/images/KD-PD-10927.png;true
KD-PD-10926;KD-PD-10926;Соусник Весенний сад;97;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;2232;2232;2790;2790;/assets/images/KD-PD-10926.png;true
KD-PD-10918;KD-PD-10918;Тарелка десертная Весенний сад;98;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;1992;1992;2490;2490;/assets/images/KD-PD-10918.png;true
KD-PD-10919;KD-PD-10919;Тарелка закусочная Весенний сад;99;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;2232;2232;2790;2790;/assets/images/KD-PD-10919.png;true
KD-PD-10920;KD-PD-10920;Тарелка обеденная Весенний сад;100;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;2632;2632;3290;3290;/assets/images/6a85bcecc09c8_big.jpg;true
KD-PD-10921;KD-PD-10921;Тарелка подстановочная Весенний сад;101;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;4392;4392;5490;5490;/assets/images/6a85bcfa2f399_big.jpg;true
KD-PD-10922;KD-PD-10922;Чайная пара Весенний сад;102;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;2792;2792;3490;3490;/assets/images/KD-PD-10922.png;true
KD-PD-10923;KD-PD-10923;Чайник Весенний сад;103;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;6392;6392;7990;7990;/assets/images/6a85bf6fe9fa3_big.jpg;true
KD-PD-10944;KD-PD-10944;Блюдо Дияф;104;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;6990;6990;;;/assets/images/698deddc79da9_big.JPG;true
KD-PD-11006;KD-PD-11006;Дорожка Дияф;105;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;4490;4490;;;/assets/images/69f218d992ea2_big.jpg;true
KD-PD-10945;KD-PD-10945;Пиала Дияф;106;1;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;2190;2190;;;/assets/images/698decfd8e311_big.jpg;true
KD-PD-10590;KD-PD-10590;Плейсмат Дияф;107;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;2590;2590;;;/assets/images/698deb44c83a5_big.jpg;true
KD-PD-10591;KD-PD-10591;Салфетка Дияф;108;1;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;1990;1990;;;/assets/images/KD-PD-10591.png;true
KD-PD-10950;KD-PD-10950;Сахарница Дияф;109;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;3490;3490;;;/assets/images/KD-PD-10950.png;true
KD-PD-10459;KD-PD-10459;Скатерть Дияф;110;2;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;22900;22900;;;/assets/images/KD-PD-10459.png;true
KD-PD-10946;KD-PD-10946;Тарелка десертная Дияф;111;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;2190;2190;;;/assets/images/KD-PD-10946.png;true
KD-PD-10947;KD-PD-10947;Тарелка закусочная Дияф;112;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;3190;3190;;;/assets/images/KD-PD-10947.png;true
KD-PD-10948;KD-PD-10948;Тарелка обеденная Дияф;113;1;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;3990;3990;;;/assets/images/KD-PD-10948.png;true
KD-PD-10951;KD-PD-10951;Чайная пара Дияф;114;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;3990;3990;;;/assets/images/KD-PD-10951.png;true
KD-PD-10949;KD-PD-10949;Чайник Дияф;115;1;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;4990;4990;;;/assets/images/KD-PD-10949.png;true
KD-PD-10287;KD-PD-10287;Менажница Дрёмица;116;1;cat_c26358d6ce;Посуда и сервировка;sub_cabc3a88c6;Блюда и подача;9900;9900;;;/assets/images/68da38fa3c974_big.jpg;true
KD-PD-10127;KD-PD-10127;Поднос Дрёмица;117;2;cat_06e60bd4fa;Декор для дома;sub_e2ccec5fae;Подносы;39900;49900;;;/assets/images/KD-PD-10127.png;true
KD-PD-10283;KD-PD-10283;Подставка для салфеток Дрёмица;118;1;cat_06e60bd4fa;Декор для дома;sub_06e60bd4fa;Декор для дома;8900;8900;;;/assets/images/68da390e4614a_big.jpg;true
KD-PD-10284;KD-PD-10284;Подставка-менажница Дрёмица;119;1;cat_06e60bd4fa;Декор для дома;sub_06e60bd4fa;Декор для дома;19900;19900;;;/assets/images/69f06b63e0eac_big.jpg;true
KD-PD-10256;KD-PD-10256;Кружка Феникс;120;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;2990;2990;;;/assets/images/KD-PD-10256.png;true
KD-PD-10254;KD-PD-10254;Чайная пара Феникс;121;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;5599;5599;;;/assets/images/KD-PD-10254.png;true
KD-PD-2000;KD-PD-2000;Декоративная подушка «Ледяные узоры»;122;3;cat_a0b0e47bba;Пледы и подушки;sub_a86f8f51fb;Декоративные подушки;5990;5990;;;/assets/images/KD-PD-2000-BLUE01.png;true
KD-PD-2003;KD-PD-2003;Плед «Ледяные узоры»;123;1;cat_a0b0e47bba;Пледы и подушки;sub_39802e3471;Плед;12990;12990;;;/assets/images/KD-PD-2003-BLUE01.png;true
KD-PD-2010;KD-PD-2010;Салатник «Ледяные узоры»;124;2;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;9990;9990;;;/assets/images/KD-PD-2010-WHITE01.png;true
KD-PD-2001;KD-PD-2001;Тарелка «Ледяные узоры»;125;2;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;7990;7990;;;/assets/images/KD-PD-2001-DARK01.png;true
KD-PD-2004;KD-PD-2004;Чайная пара «Ледяные узоры»;126;1;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;6990;6990;;;/assets/images/KD-PD-2004-WHITE01.png;true
KD-PD-10376;KD-PD-10376;Комплект постельного белья Нити;127;2;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;32900;43900;;;/assets/images/KD-PD-10376-01.png;true
