image_id;variant_id;product_id;sort_order;path
KD-PD-8777__v003__img1;KD-PD-8777__v003;KD-PD-8777;1;/assets/images/6a4374fa6a51e_big.jpg
KD-PD-8777__v003__img2;KD-PD-8777__v003;KD-PD-8777;2;/assets/images/6a4374f92306f_big.jpg
KD-PD-9711__v001__img1;KD-PD-9711__v001;KD-PD-9711;1;/assets/images/6a58e99971c7c_big.jpg
KD-PD-8776__v001__img1;KD-PD-8776__v001;KD-PD-8776;1;/assets/images/6a4374ed2e7de_big.jpg
KD-PD-8776__v001__img2;KD-PD-8776__v001;KD-PD-8776;2;/assets/images/6a4374ec602a8_big.jpg
KD-PD-8758__v001__img1;KD-PD-8758__v001;KD-PD-8758;1;/assets/images/6a4374b928bc8_big.jpg
KD-PD-8758__v001__img2;KD-PD-8758__v001;KD-PD-8758;2;/assets/images/6a4374b8dde46_big.jpg
KD-PD-8758__v002__img1;KD-PD-8758__v002;KD-PD-8758;1;/assets/images/6a4374bb5d537_big.jpg
KD-PD-8758__v002__img2;KD-PD-8758__v002;KD-PD-8758;2;/assets/images/6a4374bb235bf_big.jpg
KD-PD-8967__v001__img1;KD-PD-8967__v001;KD-PD-8967;1;/assets/images/68b028406ce99_big.jpg
KD-PD-8967__v001__img2;KD-PD-8967__v001;KD-PD-8967;2;/assets/images/68b028406ce99_big.jpg
KD-PD-8967__v002__img1;KD-PD-8967__v002;KD-PD-8967;1;/assets/images/68b028406ce99_big.jpg
KD-PD-8967__v002__img2;KD-PD-8967__v002;KD-PD-8967;2;/assets/images/68b028406ce99_big.jpg
KD-PD-8967__v003__img1;KD-PD-8967__v003;KD-PD-8967;1;/assets/images/68b028406ce99_big.jpg
KD-PD-8967__v003__img2;KD-PD-8967__v003;KD-PD-8967;2;/assets/images/68b028406ce99_big.jpg
KD-PD-8977__v001__img1;KD-PD-8977__v001;KD-PD-8977;1;/assets/images/6a46789a02f21_big.jpg
KD-PD-8977__v001__img2;KD-PD-8977__v001;KD-PD-8977;2;/assets/images/68b5843370a11_big.jpg
KD-PD-7227__v001__img1;KD-PD-7227__v001;KD-PD-7227;1;/assets/images/6a0abbf14fafb_big.jpg
