Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Фото 1;Фото 2;Фото 3;Описание готового решения
KD-PD-1023;Подушка с кружевом;Белый;null;60x60 см;5 990,00 ₽;null;60 см;60 см;null;null;null;Хлопок;Внешняя часть: 100% Хлопок Наполнитель: 100% Пух;Кружево;null;Лунная сказка;Пледы и подушки;Декоративные подушки;Зимняя сказка;null;/images/imported-products/KD-PD-1023-WHITE02.png;null;null;null
KD-PD-1023;Подушка с кружевом;Молочный;null;60x60 см;5 990,00 ₽;null;60 см;60 см;null;null;null;Хлопок;Внешняя часть: 100% Хлопок Наполнитель: 100% Пух;Кружево;null;Лунная сказка;Пледы и подушки;Декоративные подушки;Зимняя сказка;null;/images/imported-products/KD-PD-1023-BEIGE02.png;null;null;null
KD-PD-1023;Подушка с кружевом;Синий;null;60x60 см;5 990,00 ₽;null;60 см;60 см;null;null;null;Хлопок;Внешняя часть: 100% Хлопок  Наполнитель: 100% Пух;Кружево;null;Лунная сказка;Пледы и подушки;Декоративные подушки;Зимняя сказка;null;/images/imported-products/KD-PD-1023-BLUE02.png;null;null;null
KD-PD-1026;Плед из кружева;Белый;null;200x220 см;12 990,00 ₽;null;200 см;220 см;null;null;null;Хлопок;70% хлопок\n30% лен;Кружево;null;Лунная сказка;Пледы и подушки;Плед;Зимняя сказка;null;/images/imported-products/KD-PD-1026-WHITE02.png;null;null;null
KD-PD-1026;Плед из кружева;Молочный;null;200x220 см;12 990,00 ₽;null;200 см;220 см;null;null;null;Хлопок;70% хлопок\n30% лен;Кружево;null;Лунная сказка;Пледы и подушки;Плед;Зимняя сказка;null;/images/imported-products/KD-PD-1026-BEIGE02.png;null;null;null
KD-PD-1026;Плед из кружева;Синий;null;200x220 см;12 990,00 ₽;null;200 см;220 см;null;null;null;Хлопок;70% хлопок\n30% лен;Кружево;null;Лунная сказка;Пледы и подушки;Плед;Зимняя сказка;null;/images/imported-products/KD-PD-1026-BLUE02.png;null;null;null
KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Молочный;null;Евро 200×220 см;8 690,00 ₽;null;200 см;220 см;null;null;null;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;null;Бархат;null;Пледы и подушки;Покрывало;Зимняя сказка Пламя морских глубин  ;null;/images/imported-products/KD-PD-1027-MOL01.png;null;null;null
KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Молочный;null;Кинг сайз 220×240 см;8 690,00 ₽;null;220 см;240 см;null;null;null;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;null;Бархат;null;Пледы и подушки;Покрывало;Зимняя сказка Пламя морских глубин  ;null;/images/imported-products/KD-PD-1027-MOL01.png;null;null;null
KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Серо-синий;null;Евро 200×220 см;8 690,00 ₽;null;200 см;220 см;null;null;null;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;null;Бархат;null;Пледы и подушки;Покрывало;Зимняя сказка Пламя морских глубин  ;null;/images/imported-products/KD-PD-1027-PES01.png;null;null;null
KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Серо-синий;null;Кинг сайз 220×240 см;8 690,00 ₽;null;220 см;240 см;null;null;null;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;null;Бархат;null;Пледы и подушки;Покрывало;Зимняя сказка Пламя морских глубин  ;null;/images/imported-products/KD-PD-1027-PES01.png;null;null;null
KD-PD-1030;"Чайная пара ""Лунная сказка""";Ночной синий;null;250 мл;6 990,00 ₽;null;null;null;250 мл;15 см;Кружка 1 шт, Блюдце 1 шт;Фарфор;100% костяной фарфор;Рисунок;Лунная сказка;Лунная сказка;Посуда и сервировка;Кружки, чайные и кофейные пары;Зимняя сказка;null;/images/imported-products/time-tea-pair.png;null;null;null
KD-PD-1024;"Комплект постельного белья ""Лунная сказка""";Ночной синий;null;Полуторный 140x220 см;15 990,00 ₽;null;140 см;220 см;null;null;Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт;Шелк;100% Сатин;Вышивка;Лунная сказка;Лунная сказка;Постельное белье;Постельное белье;Зимняя сказка;null;/images/imported-products/KD-PD-1024-DARK01.png;/images/imported-products/KD-PD-1024-DARK02.png;null;null
KD-PD-1024;Комплект постельного белья «Лунная сказка»;Ночной синий;null;Евро 200×220 см;18 990,00 ₽;null;200 см;220 см;null;null;Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт;Шелк;100% Сатин;Вышивка;Лунная сказка;Лунная сказка;Постельное белье;Постельное белье;Зимняя сказка;null;/images/imported-products/KD-PD-1024-DARK01.png;/images/imported-products/KD-PD-1024-DARK02.png;null;null
KD-PD-1024;Комплект постельного белья «Лунная сказка»;Ночной синий;null;Кинг сайз 220×240 см;20 990,00 ₽;null;220 см;240 см;null;null;Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт;Шелк;100% Сатин;Вышивка;Лунная сказка;Лунная сказка;Постельное белье;Постельное белье;Зимняя сказка;null;/images/imported-products/KD-PD-1024-DARK01.png;/images/imported-products/KD-PD-1024-DARK02.png;null;null
KD-PD-1025;"Тарелка ""Лунная сказка""";Ночной синий;null;23 см;5 990,00 ₽;null;null;null;null;23 см;null;Фарфор;100% костяной фарфор;Рисунок;Лунная сказка;Лунная сказка;Посуда и сервировка;Тарелки;Пламя морских глубин,  Зимняя сказка;null;/images/imported-products/moon-plate.png;null;null;null
KD-PD-1028;Натяжная простыня из сатина;Белый;null;Полуторный 140x220 см;4 990,00 ₽;null;140 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1028-WHITE01.png;/images/imported-products/KD-PD-1028-WHITE03.png;null;null
KD-PD-1028;Натяжная простыня из сатина;Белый;null;Евро 200×220 см;5 990,00 ₽;null;200 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1028-WHITE01.png;/images/imported-products/KD-PD-1028-WHITE03.png;null;null
KD-PD-1028;Натяжная простыня из сатина;Белый;null;Кинг сайз 220×240 см;6 990,00 ₽;null;220 см;240 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1028-WHITE01.png;/images/imported-products/KD-PD-1028-WHITE03.png;null;null
KD-PD-1028;Натяжная простыня из сатина;Ночной синий;null;Полуторный 140x220 см;4 990,00 ₽;null;140 см;220 см;null;null;null;Шелк;100% Сатин;null;null;null;Постельное белье;Постельное белье;null;null;/images/imported-products/KD-PD-1028-DARK01.png;/images/imported-products/KD-PD-1028-DARK02.png;null;null
