Id,Артикул,Название товара,Цвет,Размер,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в скролле,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Аромат,Offer ID,URL товара,Тип товара,Источник
659,KD-PD-9370,Скатерть Пионы: 180х250 см,белый,180х250 см,https://kultura-doma.ru/public/src/images/gallery/catalog/68ac623812b3e_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b0273b5a2db_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b068727f9d2_big.jpg,180 см,250 см,null,null,null,лён,100% лен,null,null,null,673-713,https://kultura-doma.ru/product/skatert-piony-673-size-180h250-sm,tablecloth,master_catalog
660,KD-PD-7225,Скатерть Пионы: 180х350 см,белый,180х350 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d8a36d2_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d654554_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d888cb1_big.jpg,180 см,350 см,null,null,null,null,null,null,null,null,671-707,https://kultura-doma.ru/product/skatert-piony-size-180h350-sm,tablecloth,master_catalog
661,KD-PD-9371,Скатерть Пионы: 180х350 см,белый,180х350 см,https://kultura-doma.ru/public/src/images/gallery/catalog/68ac623812b3e_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b0273b5a2db_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b068727f9d2_big.jpg,180 см,350 см,null,null,null,лён,100% лен,null,null,null,673-714,https://kultura-doma.ru/product/skatert-piony-673-size-180h350-sm,tablecloth,master_catalog
662,KD-PD-10927,Солонка Весенний сад,белый,8 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a2035bbd4003_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69a6eabe48e83_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a2035bb178cc_big.jpg,null,null,70 мл,null,null,фарфор,100% фарфор,null,null,null,1637,https://kultura-doma.ru/product/solonka-vesenniy-sad,other,master_catalog
663,KD-PD-7116,Сорочка Анна,розовый,42-170,https://kultura-doma.ru/public/src/images/gallery/catalog/6891c58475474_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6891ef9ff1670_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6891c01c10af5_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1161,https://kultura-doma.ru/product/sorochka-anna-1161,other,master_catalog
664,KD-PD-7124,Сорочка Анна,голубой,42-170,https://kultura-doma.ru/public/src/images/gallery/catalog/6891c627e203b_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374232d7da_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a437422c9f1a_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1160,https://kultura-doma.ru/product/sorochka-anna-1160,other,master_catalog
665,KD-PD-7328,Сорочка Анна,розовый,56-170,https://kultura-doma.ru/public/src/images/gallery/catalog/6890a22f2cc95_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43744adcabc_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43744a7d947_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1158,https://kultura-doma.ru/product/sorochka-anna,other,master_catalog
666,KD-PD-7329,Сорочка Анна,голубой,48-170,https://kultura-doma.ru/public/src/images/gallery/catalog/688b64be61b08_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68947767e6d98_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43744ee5ac2_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,997,https://kultura-doma.ru/product/sorochka-anna-997,other,master_catalog
667,KD-PD-9073,Сорочка Анна,айвори,48-50,https://kultura-doma.ru/public/src/images/gallery/catalog/68bebde694aa4_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43751f068b8_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43751f9b478_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1229,https://kultura-doma.ru/product/sorochka-anna-1229,other,master_catalog
668,KD-PD-9077,Сорочка Анна,бежевый,40-42,https://kultura-doma.ru/public/src/images/gallery/catalog/68bebdfe9a7f9_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4375241a12d_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a437524a61aa_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1230,https://kultura-doma.ru/product/sorochka-anna-1230,other,master_catalog
669,KD-PD-9081,Сорочка Анна,айвори,52-54,https://kultura-doma.ru/public/src/images/gallery/catalog/68bb002300f16_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a437529eb6d2_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b98c1d5e5ac_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1231,https://kultura-doma.ru/product/sorochka-anna-1231,other,master_catalog
670,KD-PD-9085,Сорочка Анна,бежевый,40-42,https://kultura-doma.ru/public/src/images/gallery/catalog/68bebe118ba66_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43753152093_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a437531a7a7d_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1232,https://kultura-doma.ru/product/sorochka-anna-1232,other,master_catalog
671,KD-PD-9073,Сорочка Анна: 40-42,айвори,40-42,https://kultura-doma.ru/public/src/images/gallery/catalog/68bebde694aa4_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43751f068b8_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43751f9b478_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1229-1391,https://kultura-doma.ru/product/sorochka-anna-1229-size-4042,other,master_catalog
672,KD-PD-9081,Сорочка Анна: 40-42,айвори,40-42,https://kultura-doma.ru/public/src/images/gallery/catalog/68bb002300f16_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a437529eb6d2_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b98c1d5e5ac_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1231-1399,https://kultura-doma.ru/product/sorochka-anna-1231-size-4042,other,master_catalog
673,KD-PD-7108,Сорочка Анна: 42-164,розовый,42-164,https://kultura-doma.ru/public/src/images/gallery/catalog/6891c58475474_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6891ef9ff1670_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6891c01c10af5_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1161-1218,https://kultura-doma.ru/product/sorochka-anna-1161-size-42164,other,master_catalog
674,KD-PD-7124,Сорочка Анна: 42-164,голубой,42-164,https://kultura-doma.ru/public/src/images/gallery/catalog/6891c627e203b_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4374232d7da_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a437422c9f1a_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1160-1187,https://kultura-doma.ru/product/sorochka-anna-1160-size-42164,other,master_catalog
675,KD-PD-7313,Сорочка Анна: 42-164,розовый,42-164,https://kultura-doma.ru/public/src/images/gallery/catalog/6890a22f2cc95_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43744adcabc_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a43744a7d947_big.jpg,null,null,null,null,null,тенсель,100% тенсель,null,null,null,1158-1185,https://kultura-doma.ru/product/sorochka-anna-size-42164,other,master_catalog
