Id,Артикул,Название товара,Цвет,Аромат,Размер,Цена,Старая цена,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Капсула,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение,Описание готового решения,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле,Offer ID
448982,KD-PD-8982,Плейсмат Весна,Белый,,45х45 см,990,,45 см,65 см,,,,Хлопок,100% Хлопок,,Весна,,Столовый текстиль,Столовый текстиль,,Зеленый салон,,/images/imported-products/6a84701c28299_big.jpg,,,562
448982,KD-PD-8982,Плейсмат Весна,Белый,,45х65 см,990,,45 см,65 см,,,,Хлопок,100% Хлопок,,Весна,,Столовый текстиль,Столовый текстиль,,Зеленый салон,,/images/imported-products/6a84701c28299_big.jpg,,,561
443,KD-PD-11616,Плейсмат Алая нить,белый,,40х40 см,1194,1990,40 см,40 см,,,,Хлопок,100% Хлопок,,Алая нить,,Столовый текстиль,Столовый текстиль,,Красные линии,,/images/imported-products/6a8319ebd8c65_big.jpg,,,1526
444,KD-PD-11574,Чайная пара Алая нить,белый,,320 мл,5990,,,,320 мл,,Кружка 1 шт Блюдце 1 шт,Фарфор,100% Фарфор,,Алая нить,,Посуда и сервировка,"Кружки, чайные и кофейные пары",,Красные линии,,/images/imported-products/6a85be4d14dd5_big.jpg,,,1528
603,KD-PD-11033,Подушка декоративная Алатырь,бежевый,,40х40 см,5990,,40 см,40 см,,,,,,,Мокоши,,Пледы и подушки,Декоративные подушки,Красные линии,,,/images/imported-products/69e233fdc6992_big.jpg,,,1437
604,KD-PD-11034,Подушка декоративная Мокоши,бежевый,,40х40 см,5990,,40 см,40 см,,,,,,,Мокоши,,Пледы и подушки,Декоративные подушки,Красные линии,,,/images/imported-products/69e234045d0a5_big.jpg,,,1438
653,KD-PD-10841,Плед Пушица,экрю,,150х200 см,29900,,,,,,,,,,Оренбургские узоры,,Пледы и подушки,Плед,,Зимняя сказка Теплый брутализм,,/images/imported-products/69e0fef714064_big.jpg,,,448
650,KD-PD-10841,Плед Пушица,бежевый,,150х200 см,29900,,,,,,,,,,Оренбургские узоры,,Пледы и подушки,Плед,Красные линии Пламя морских глубин,Зимняя сказка Теплый брутализм,,/images/imported-products/690caa6e3be4a_big.jpg,,,1290
651,KD-PD-10841,Плед Пушица,голубой,,150х200 см,29900,,,,,,,,,,Оренбургские узоры,,Пледы и подушки,Плед,Красные линии Пламя морских глубин,Зимняя сказка Теплый брутализм,,/images/imported-products/690ca7e8a1da2_big.jpg,,,1291
654,KD-PD-10786,Подушка декоративная Пушица,экрю,,45х45 см,9900,,45 см,45 см,,,,,,,Оренбургские узоры,,Пледы и подушки,Декоративные подушки,Красные линии Пламя морских глубин,Зимняя сказка Теплый брутализм,,/images/imported-products/6a5f32cbe9c39_big.jpg,,,1293
