offer_id,group_id,vendor_code,collection,product_name,product_url,product_type,constructor_role,mix_role,builder_domain,palette,style_tags,price,old_price,color,size,material,volume,availability_status,primary_image_url,all_image_urls
699,699,УТ-00009685,,Ваза Бархан,https://kultura-doma.ru/product/vaza-barhan-699,vase,atmosphere_or_drinks,,,,,7194,11990,серый,20 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a70d7fca_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a70d7fca_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a7124838_big.jpg
699-749,699,УТ-00009686,,Ваза Бархан: 28 см,https://kultura-doma.ru/product/vaza-barhan-699-size-28-sm,vase,atmosphere_or_drinks,,,,,11994,11990,серый,28 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a70d7fca_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a70d7fca_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a7124838_big.jpg
699-750,699,УТ-00009687,,Ваза Бархан: 35 см,https://kultura-doma.ru/product/vaza-barhan-699-size-35-sm,vase,atmosphere_or_drinks,,,,,16014,11990,серый,35 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a70d7fca_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a70d7fca_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a7124838_big.jpg
700,700,УТ-00009688,,Ваза Бархан,https://kultura-doma.ru/product/vaza-barhan-700,vase,atmosphere_or_drinks,,,,,7194,11990,синий,20 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a74cba24_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a74cba24_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a7685675_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a755e54b_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a7641ac5_big.jpg
700-752,700,УТ-00009689,,Ваза Бархан: 28 см,https://kultura-doma.ru/product/vaza-barhan-700-size-28-sm,vase,atmosphere_or_drinks,,,,,11994,11990,синий,28 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a74cba24_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a74cba24_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a7685675_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a755e54b_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a7641ac5_big.jpg
700-753,700,УТ-00009690,,Ваза Бархан: 35 см,https://kultura-doma.ru/product/vaza-barhan-700-size-35-sm,vase,atmosphere_or_drinks,,,,,16014,11990,синий,35 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a74cba24_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a74cba24_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a7685675_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a755e54b_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a7641ac5_big.jpg
218,,УТ-00008688,,Набор фужеров Росы,https://kultura-doma.ru/product/nabor-fuzherov-rosy,wine_glass_set,atmosphere_or_drinks,,,,,26200,,,,хрусталь,300 мл,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6878b99e3d1be_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6878b99e3d1be_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a90356c79b_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a90360004a_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a9035adda4_big.jpg
219,,УТ-00008689,,Набор бокалов для шампанского Росы,https://kultura-doma.ru/product/nabor-bokalov-dlya-shampanskogo-rosy,wine_glass_set,atmosphere_or_drinks,,,,,19600,,,,хрусталь,195 мл,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a902e9758f_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a902e9758f_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a902d7e078_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a902ddcd1f_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a902d23010_big.jpg
731,,УТ-00008687,,Набор бокалов для вина Росы,https://kultura-doma.ru/product/nabor-bokalov-dlya-vina-rosy,wine_glass_set,atmosphere_or_drinks,,,,,22700,,,,хрусталь,200 мл,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6878bae342991_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6878bae342991_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6878bb3d97e62_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6878bb6c921b3_big.jpg
199,,УТ-00007696,,Блюдо Летний сад,https://kultura-doma.ru/product/blyudo-letniy-sad,serving_dish,serving_add_on,,,,,103250,147500,белый,,фарфор,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77e06b3ce_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77e06b3ce_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77dbe558c_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77e219f59_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77e0ba0e4_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77e1ced68_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a77db983ca_big.jpg
