variant_id;product_id;characteristic_code;value;normalized_value;numeric_value
KD-PD-1028__v004;KD-PD-1028;size;Полуторный 140×220 см;полуторный 140×220 см;
KD-PD-1028__v004;KD-PD-1028;price;4990;4990;4990
KD-PD-1028__v004;KD-PD-1028;height;140 см;140 см;
KD-PD-1028__v004;KD-PD-1028;width;220 см;220 см;
KD-PD-1028__v004;KD-PD-1028;composition;100% Сатин;100% сатин;
KD-PD-1028__v004;KD-PD-1028;color;Ночной синий;ночной синий;
KD-PD-1028__v005;KD-PD-1028;category;Постельное белье;постельное белье;
KD-PD-1028__v005;KD-PD-1028;subcategory;Постельное белье;постельное белье;
KD-PD-1028__v005;KD-PD-1028;material;Шелк;шелк;
KD-PD-1028__v005;KD-PD-1028;size;Евро 200×220 см;евро 200×220 см;
KD-PD-1028__v005;KD-PD-1028;price;5990;5990;5990
KD-PD-1028__v005;KD-PD-1028;height;200 см;200 см;
KD-PD-1028__v005;KD-PD-1028;width;220 см;220 см;
KD-PD-1028__v005;KD-PD-1028;composition;100% Сатин;100% сатин;
KD-PD-1028__v005;KD-PD-1028;color;Ночной синий;ночной синий;
KD-PD-1028__v006;KD-PD-1028;category;Постельное белье;постельное белье;
KD-PD-1028__v006;KD-PD-1028;subcategory;Постельное белье;постельное белье;
KD-PD-1028__v006;KD-PD-1028;material;Шелк;шелк;
KD-PD-1028__v006;KD-PD-1028;size;Кинг сайз 220×240 см;кинг сайз 220×240 см;
KD-PD-1028__v006;KD-PD-1028;price;6990;6990;6990
KD-PD-1028__v006;KD-PD-1028;height;220 см;220 см;
KD-PD-1028__v006;KD-PD-1028;width;240 см;240 см;
KD-PD-1028__v006;KD-PD-1028;composition;100% Сатин;100% сатин;
KD-PD-1028__v006;KD-PD-1028;color;Ночной синий;ночной синий;
KD-PD-1028__v007;KD-PD-1028;category;Постельное белье;постельное белье;
KD-PD-1028__v007;KD-PD-1028;subcategory;Постельное белье;постельное белье;
KD-PD-1028__v007;KD-PD-1028;material;Шелк;шелк;
KD-PD-1028__v007;KD-PD-1028;size;Полуторный 140×220 см;полуторный 140×220 см;
KD-PD-1028__v007;KD-PD-1028;price;4990;4990;4990
KD-PD-1028__v007;KD-PD-1028;height;140 см;140 см;
KD-PD-1028__v007;KD-PD-1028;width;220 см;220 см;
KD-PD-1028__v007;KD-PD-1028;composition;100% Сатин;100% сатин;
